date,supplier,total,invoice,notes,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,ศรีสยาม Due 12 - 18/12/65,33609.31,,โอน 23/1/66,,,,
,ศรีสยาม Due 19 - 25/12/65,36686.51,,โอน 23/1/66,,,,
,ศรีสยาม Due 26 - 1/1/66,6559.96,,โอน 7/2/66,,,,
2565-12-19,กิ๊บน๊อต / ร้านต้นคิด   ,2360,,โอน 19/12/65,,,,
,ร้านเจ๊แอน,33000,,โอน 2/1/66,,,,
,ร้านโสภา,8750,,โอน 2/7/66,,,,
,ชื่อร้านค้า,ยอดรวม,เลขที่บิล,หมายเหตุ,,,,
2566-01-07,หจก. ไทยออโต้โคท (น้ำยาป้องกันสนิม ออโต้โคท/ทัฟโค้ท สีดำ),6500,,โอน 7/1/66,,,,
2566-01-31,ออโต้เทรด มาร์เก็ตติ้ง (รายการส่วนต่างเพิ่มเติม) ,834.6,IV1427206,โอน 3/2/66,ลงคอมพ์แล้ว,,,
2566-01-17,บจก. วีที คัลเลอร์ โปร,2910.4,IV036-66,โอน 16/4/66,,,,
2566-01-22,บจก. วีที คัลเลอร์ โปร,50183,IV041-66,โอน 16/4/66,,,,
2566-01-22,บจก. วีที คัลเลอร์ โปร,106657.6,IV042-66,โอน 16/4/66,,,,
2566-01-03,ทาเลนท์อินเตอร์เทรด,6141.8,IV2209110,โอน 18/5/66,ลงคอมพ์แล้ว,,,
2566-01-19,ทาเลนท์อินเตอร์เทรด,7808.86,IB3005285,โอน 18/5/66,ลงคอมพ์แล้ว,,,
2566-01-05,ทาเลนท์อินเตอร์เทรด -- ใบลดหนี้,-1671.34,SR6601006,โอน 18/5/66,,,,
,ร้านจิตต์ อะไหล่ Due 2 - 7/1/2566,37590,,โอน 9/1/66,,,,
,ร้านจิตต์ อะไหล่ Due 9 - 14/1/2566,60658.93,,โอน 16/1/66,,,,
,ร้านจิตต์ อะไหล่ Due 16 - 20/1/2566,61214,,โอน 23/1/66,,,,
,ร้านจิตต์ อะไหล่ Due 23 - 28/1/2566,47941,,โอน 30/1/66,,,,
,ศรีสยาม Due 2 - 8/1/66,52712.89,,โอน 7/2/66,,,,
,ศรีสยาม Due 9 - 15/1/66,122751.51,,โอน 21/2/66,,,,
,ศรีสยาม Due 16 - 22/1/66,57125.32,,โอน 21/2/66,,,,
,ศรีสยาม Due 23 - 29/1/66,65678.12,,โอน 4/3/66,,,,
,ร้านเจ๊แอน,30360,,โอน 1/2/66,,,,
,ร้านโสภา,9200,,โอน 2/7/66,,,,
,ชื่อร้านค้า,ยอดรวม,เลขที่บิล,หมายเหตุ,,,,
2566-02-03,ไทยนครพัฒนา,26696.5,INV23020087,โอน 24/4/66,,,,
2566-02-05,บจก. วีที คัลเลอร์ โปร -- กระดาษกาว 2 ลัง,5000,ไม่มีบิล,โอน 6/2/66,,,,
2566-02-09,บจก. วีที คัลเลอร์ โปร,30548.5,IV088-66,โอน 16/4/66,,,,
2566-02-22,บจก. วีที คัลเลอร์ โปร,90361.5,IV113-66,โอน 16/4/66,,,,
2566-02-22,บจก. วีที คัลเลอร์ โปร,146718.4,IV114-66,โอน 16/4/66,,,,
2566-02-06,ออโต้เทรด มาร์เก็ตติ้ง ,13214.5,IV1427558,โอน 15/2/66,ลงคอมพ์แล้ว,,,
2566-02-07,ออโต้เทรด มาร์เก็ตติ้ง ,10486,IV1427669,โอน 15/2/66,ลงคอมพ์แล้ว,,,
2566-02-09,ห้างหุ้นส่วนจำกัด พี.บี. เพ้นต์,51360,66/078,โอน 12/5/66,ไทยพาณิชย์ 342-237-7609 หจก. พี.บี. เพ้นต์,,,
2566-02-10,ทาเลนท์อินเตอร์เทรด,5859.32,IB3006698,โอน 18/5/66,ลงคอมพ์แล้ว,,,
2566-02-11,ทาเลนท์อินเตอร์เทรด,1070,IB3006761,โอน 18/5/66,ลงคอมพ์แล้ว,,,
2566-02-15,ทาเลนท์อินเตอร์เทรด,2668.58,IB3006977,โอน 18/5/66,ลงคอมพ์แล้ว,,,
2566-02-18,ทาเลนท์อินเตอร์เทรด,406.6,IB3007149,โอน 18/5/66,ลงคอมพ์แล้ว,,,
,ร้านจิตต์ อะไหล่ Due 30/1 - 4/2/2566,49910,,โอน 6/2/66,,,,
,ร้านจิตต์ อะไหล่ Due 6 - 10/2/2566,40095,,โอน 14/2/66,,,,
,ร้านจิตต์ อะไหล่ Due 13 - 18/2/2566,50503.86,,โอน 21/2/66,,,,
,ร้านจิตต์ อะไหล่ Due 20 - 25/2/2566,62557.54,,โอน 28/2/66,,,,
,ศรีสยาม Due 30/1 - 5/2/66,48590.2,,โอน 4/3/66,,,,
,ศรีสยาม Due 6 - 12/2/66,71767.69,,โอน 17/3/66,,,,
,ศรีสยาม Due 13 - 19/2/66,23095.89,,โอน 22/3/66,,,,
,ศรีสยาม Due 20 - 26/2/66,84846.45,,โอน 1/4/66,,,,
2566-02-22,กิ๊บน๊อต / ร้านต้นคิด   ,2700,,โอน 4/3/66,,,,
,ร้านเจ๊แอน,32920,,โอน 1/3/66,,,,
,ร้านโสภา,5500,,โอน 2/7/66,,,,
,ชื่อร้านค้า,ยอดรวม,เลขที่บิล,หมายเหตุ,,,,
2566-03-02,บจก. วีที คัลเลอร์ โปร -- กระดาษกาว (จ่ายสด),10000,,โอน 3/3/66,,,,
2566-03-09,หจก. ไทยออโต้โคท (น้ำยาป้องกันสนิม ออโต้โคท/ทัฟโค้ท สีดำ),6500,,โอน 27/3/66,,,,
2566-03-02,บจก. วีที คัลเลอร์ โปร,13054,IV130-66,โอน 13/6/66,,,,
2566-03-10,บจก. วีที คัลเลอร์ โปร,32485.2,IV150-66,โอน 13/6/66,,,,
2566-03-20,บจก. วีที คัลเลอร์ โปร,30762.5,IV168-66,โอน 13/6/66,,,,
2566-03-23,บจก. วีที คัลเลอร์ โปร,83930.8,IV177-66,โอน 13/6/66,,,,
2566-03-23,บจก. วีที คัลเลอร์ โปร,57673,IV178-66,โอน 13/6/66,,,,
2566-03-21,ห้างหุ้นส่วนจำกัด พี.บี. เพ้นต์,51360,66/175,โอน 8/6/66,ไทยพาณิชย์ 342-237-7609 หจก. พี.บี. เพ้นต์,,,
2566-03-17,ไทยนครพัฒนา,27568.55,INV23030628,โอน 18/5/66,ลงคอมพ์แล้ว,,,
2566-06-02,ทาเลนท์อินเตอร์เทรด,8153.4,IB3007951,โอน 2/7/66,ลงคอมพ์แล้ว,,,
2566-06-13,ทาเลนท์อินเตอร์เทรด,11209.32,IB3008531,โอน 2/7/66,ลงคอมพ์แล้ว,,,
2566-03-18,ทาเลนท์อินเตอร์เทรด,4681.25,IB3008935,โอน 2/7/66,ลงคอมพ์แล้ว,,,
2566-03-30,ทาเลนท์อินเตอร์เทรด,1537.59,IB3009612,โอน 2/7/66,ลงคอมพ์แล้ว,,,
2566-03-30,ทาเลนท์อินเตอร์เทรด,609.9,IB3009634,โอน 2/7/66,ลงคอมพ์แล้ว,,,
2566-03-30,ทาเลนท์อินเตอร์เทรด -- ใบลดหนี้,-347.75,SR6603041,โอน 2/7/66,ลงคอมพ์แล้ว,,,
2566-03-04,กิ๊บน๊อต / ร้านต้นคิด   ,600,,โอน 4/3/66,,,,
2566-03-04,กิ๊บน๊อต / ร้านต้นคิด   ,6560,,โอน 4/3/66,,,,
2566-03-14,กิ๊บน๊อต / ร้านต้นคิด   ,1500,,โอน 3/5/66,,,,
2566-03-24,กิ๊บน๊อต / ร้านต้นคิด   ,1900,,โอน 3/5/66,,,,
,ร้านจิตต์ อะไหล่ Due 27/2 - 4/3/2566,99754.35,,โอน 6/3/66,,,,
,ร้านจิตต์ อะไหล่ Due 6 - 11/3/2566,69527.79,,โอน 13/3/66,,,,
,ร้านจิตต์ อะไหล่ Due 13 - 18/3/2566,55944.55,,โอน 20/3/66,,,,
,ร้านจิตต์ อะไหล่ Due 20 - 25/3/2566,90300.88,,โอน 27/3/66,,,,
,ร้านจิตต์ อะไหล่ Due 27/3 - 1/4/2566,59505.81,,โอน 4/4/66,,,,
,ศรีสยาม Due 27/2 - 5/3/66,43042.94,,โอน 10/4/66,,,,
,ศรีสยาม Due 6 - 12/3/66,103851.76,,โอน 10/4/66,,,,
,ศรีสยาม Due 13 - 19/3/66,49368.01,,โอน 23/4/66,,,,
,ศรีสยาม Due 20 - 26/3/66,40464.62,,โอน 23/4/66,,,,
,ศรีสยาม Due 27/3 - 2/4/66,38157.15,,โอน 6/5/66,,,,
,ร้านเจ๊แอน,31310,,โอน 4/2/66,,,,
,ร้านโสภา ,5200,,โอน 2/7/66,,,,
,ชื่อร้านค้า,ยอดรวม,เลขที่บิล,หมายเหตุ,,,,
2566-04-05,ออโต้เทรด มาร์เก็ตติ้ง ,19677.3,IV1430190,โอน 5/4/66,,,,
2566-04-05,ออโต้เทรด มาร์เก็ตติ้ง -- หักคืนค่ากระดาษทรายที่รับคืน 6แพ็ค,-3755.7,,เคลียร์ยอดโอน 5/4/66,คืน 12แพ็ค/แพ็คละ 50แผ่น ร้านเลยรวมเป็น 6แพ็ค/แพ็คละ 100 แผ่น (ราคาแผ่นละ 9บาท),,,
2566-04-18,ออโต้เทรด มาร์เก็ตติ้ง ,10015.2,IV1430628,โอน 24/4/66,,,,
2566-04-24,บจก. วีที คัลเลอร์ โปร ,128956.4,IV226-66,โอน 2/7/66,ลงคอมพ์แล้ว,,,
2566-04-25,บจก. วีที คัลเลอร์ โปร ,7062,IV230-66,โอน 2/7/66,ลงคอมพ์แล้ว,,,
2566-04-28,บจก. วีที คัลเลอร์ โปร -- กระดาษกาว (จ่ายสด),5000,,โอน 28/4/66,,,,
2566-04-03,ทาเลนท์อินเตอร์เทรด,1537.59,IB3009871,โอน 2/7/66,ลงคอมพ์แล้ว,,,
2566-04-18,ทาเลนท์อินเตอร์เทรด,2953.2,IV2210406,โอน 2/7/66,ลงคอมพ์แล้ว,,,
2566-04-19,ออโต้เทรด มาร์เก็ตติ้ง ,10015.2,IV1430628,โอน 24/4/66,ลงคอมพ์แล้ว,,,
2566-04-06,ค่ากิ๊บน๊อต / ร้าน 55 กิ๊บน๊อต,1000,,โอน 7/4/66,,,,
2566-04-01,กิ๊บน๊อต / ร้านต้นคิด   ,3050,,โอน 3/5/66,,,,
,ร้านจิตต์ อะไหล่ Due 3 - 8/4/2566,23256,,โอน 19/4/66,,,,
,ร้านจิตต์ อะไหล่ Due 10 - 22/4/2566,45160.72,,โอน 24/4/66,,,,
,ร้านจิตต์ อะไหล่ Due 24 - 29/4/2566,93628.55,,โอน 3/5/66,,,,
,ศรีสยาม Due 3 - 9/4/66,8644.89,,โอน 12/5/66,,,,
,ศรีสยาม Due 10 - 16/4/66 -- ยอดติดลบ,-155,,,,,,
,ศรีสยาม Due 17 - 23/4/66,49217.82,,โอน 24/5/66,,,,
,ศรีสยาม Due 24 - 30/4/66,22620.47,,โอน 1/6/66,,,,
,ร้านเจ๊แอน,12350,,โอน 3/5/66,,,,
,ร้านโสภา,2500,,โอน 2/7/66,,,,
,ชื่อร้านค้า,ยอดรวม,เลขที่บิล,หมายเหตุ,,,,
2566-05-13,ออโต้เทรด มาร์เก็ตติ้ง ,10143.6,IV1431907,โอน 16/5/66,,,,
2566-05-17,ออโต้เทรด มาร์เก็ตติ้ง ,599.2,IV1432054,โอน 23/5/66,ลงคอมพ์แล้ว,,,
2566-05-17,ออโต้เทรด มาร์เก็ตติ้ง ,1338.57,IV1432091,โอน 23/5/66,ลงคอมพ์แล้ว,,,
2566-05-02,ทาเลนท์อินเตอร์เทรด,5450.58,IV2211226,โอน 9/9/66,ลงคอมพ์แล้ว,,,
2566-05-04,ทาเลนท์อินเตอร์เทรด,1712,IV2211423,โอน 9/9/66,ลงคอมพ์แล้ว,,,
2566-05-18,ทาเลนท์อินเตอร์เทรด,7276,IV2212326,โอน 9/9/66,ลงคอมพ์แล้ว,,,
2566-05-23,ทาเลนท์อินเตอร์เทรด,4530.38,IV2212637,โอน 9/9/66,ลงคอมพ์แล้ว,,,
2566-05-24,ทาเลนท์อินเตอร์เทรด,6663.96,IV2212728,โอน 9/9/66,ลงคอมพ์แล้ว,,,
2566-05-26,ทาเลนท์อินเตอร์เทรด,2953.2,IV2212851,โอน 9/9/66,ลงคอมพ์แล้ว,,,
2566-05-31,ทาเลนท์อินเตอร์เทรด,7318.8,IV2213077,โอน 9/9/66,ลงคอมพ์แล้ว,,,
2566-05-20,หจก. ไทยออโต้โคท (น้ำยาป้องกันสนิม ออโต้โคท/ทัฟโค้ท สีดำ),6500,,โอน 22/5/66,,,,
2566-05-04,ไทยนครพัฒนา,23074.55,INV23050155,โอน 2/7/66,ลงคอมพ์แล้ว,,,
2566-05-06,ไทยนครพัฒนา,6527,INV23050217,โอน 2/7/66,ลงคอมพ์แล้ว,,,
2566-05-15,ห้างหุ้นส่วนจำกัด พี.บี. เพ้นต์,51360,66/287,โอน 8/8/66,ลงคอมพ์แล้ว,,,
,ร้านจิตต์ อะไหล่ Due 1 - 6/5/2566,50873.26,,โอน 8/5/66,,,,
,ร้านจิตต์ อะไหล่ Due 7 - 13/5/2566,88301.66,,โอน 15/5/66,,,,
,ร้านจิตต์ อะไหล่ Due 15 - 20/5/2566,55331.58,,โอน 22/5/66,,,,
,ร้านจิตต์ อะไหล่ Due 22 - 27/5/2566,92950.85,,โอน 29/5/66,,,,
,ร้านจิตต์ อะไหล่ Due 29/5 - 3/6/2566,108076.47,,โอน 7/6/66,,,,
,ศรีสยาม Due 1 - 7/5/66,43911.45,,โอน 11/6/66,,,,
,ศรีสยาม Due 8 - 14/5/66,31266.01,,โอน 17/6/66,,,,
,ศรีสยาม Due 15 - 21/5/66,75861.02,,โอน 24/6/66,,,,
,ศรีสยาม Due 22 - 28/5/66,54977.13,,โอน 2/7/66,,,,
,ร้านเจ๊แอน,39730,,โอน 8/6/66,,,,
,ร้านโสภา,1950,,โอน 2/7/66,,,,
,ชื่อร้านค้า,ยอดรวม,เลขที่บิล,หมายเหตุ,,,,
2566-06-21,บจก. วีที คัลเลอร์ โปร -- กระดาษกาว (จ่ายสด),3168,,โอน 21/6/66,,,,
2566-06-13,บจก. วีที คัลเลอร์ โปร ,34775,IV329-66,โอน 7/9/66,ลงคอมพ์แล้ว,,,
2566-06-14,บจก. วีที คัลเลอร์ โปร ,21770.22,IV336-66,โอน 7/9/66,ลงคอมพ์แล้ว,,282304.52,
2566-06-24,บจก. วีที คัลเลอร์ โปร ,34293.5,IV352-66,โอน 7/9/66,ลงคอมพ์แล้ว,,,
2566-06-24,บจก. วีที คัลเลอร์ โปร ,60241,IV353-66,โอน 7/9/66,ลงคอมพ์แล้ว,,,
2566-06-24,บจก. วีที คัลเลอร์ โปร ,131224.8,IV354-66,โอน 7/9/66,ลงคอมพ์แล้ว,,,
2566-06-15,ห้างหุ้นส่วนจากัด พีอาร์โอ ซัพพลาย,3531,,โอน 15/6/66,,,,
2566-06-15,ทาเลนท์อินเตอร์เทรด,10143.6,IV2214252,โอน 7/10/66,ลงคอมพ์แล้ว,,,
2566-06-19,ทาเลนท์อินเตอร์เทรด,3638,IV2214486,โอน 7/10/66,ลงคอมพ์แล้ว,,,
2566-06-20,ทาเลนท์อินเตอร์เทรด,5906.4,IV2214540,โอน 7/10/66,ลงคอมพ์แล้ว,,,
2566-06-12,ไทยนครพัฒนา,28729.5,INV23060429,โอน 8/8/66,ลงคอมพ์แล้ว,,,
2566-06-14,ออโต้เทรด มาร์เก็ตติ้ง ,23329.21,IV1433445,โอน 24/6/66,ลงคอมพ์แล้ว,,,
2566-06-26,ห้างหุ้นส่วนจำกัด พี.บี. เพ้นต์,51360,66/393,โอน 9/9/66,ลงคอมพ์แล้ว,,,
,ศรีสยาม Due 29/5 - 4/6/66,46261.66,,โอน 9/7/66,,,,
,ศรีสยาม Due 5 - 11/6/66,59623.52,,โอน 17/7/66,,,,
,ศรีสยาม Due 12 - 18/6/66,149007.04,,โอน 19/7/66,,,,
,ศรีสยาม Due 19 - 25/6/66,19413.85,,โอน 3/8/66,,,,
,ศรีสยาม Due 26/6 - 2/7/66,116985.31,,โอน 3/8/66,,,,
,ร้านจิตต์ อะไหล่ Due 5 - 10/6/2566,84275.5,,โอน 13/6/66,,,,
,ร้านจิตต์ อะไหล่ Due 12 - 17/6/2566,67813.93,,โอน 20/6/66,,,,
,ร้านจิตต์ อะไหล่ Due 19 - 24/6/2566,75295.26,,โอน 26/6/66,,,,
,ร้านจิตต์ อะไหล่ Due 26/6 - 1/7/2566,59675.94,,โอน 5/7/66,,,,
,ร้านโสภา,2150,,โอน 2/7/66,,,,
,ร้านเจ๊แอน,44230,,โอน 2/7/66,,,,
,ชื่อร้านค้า,ยอดรวม,เลขที่บิล,หมายเหตุ,,,,
2566-07-11,บจก. ฟอร์เวิร์ด อินคอร์ปอร์เรชั่น (ประเทศไทย),16050,FW6607396,โอน 11/7/66,,,,
2566-07-25,ห้างหุ้นส่วนจำกัด พี.บี. เพ้นต์,51360,66/456,โอน 19/10/66,ลงคอมพ์แล้ว,,,
2566-07-10,ไทยนครพัฒนา,35470.5,INV23070398,โอน 9/9/66,ลงคอมพ์แล้ว,,,
2566-07-05,บจก. วีที คัลเลอร์ โปร ,2996,IV374-66,โอน 29/9/66,ลงคอมพ์แล้ว,,,
2566-07-10,บจก. วีที คัลเลอร์ โปร ,39258.3,IV387-66,โอน 29/9/66,ลงคอมพ์แล้ว,,,
2566-07-21,บจก. วีที คัลเลอร์ โปร ,37985,IV410-66,โอน 29/9/66,ลงคอมพ์แล้ว,,,
2566-07-27,บจก. วีที คัลเลอร์ โปร ,33972.5,IV423-66,โอน 29/9/66,ลงคอมพ์แล้ว,,,
2566-07-27,บจก. วีที คัลเลอร์ โปร ,45956.5,IV424-66,โอน 29/9/66,ลงคอมพ์แล้ว,,,
2566-07-27,บจก. วีที คัลเลอร์ โปร ,113355.8,IV425-66,โอน 29/9/66,ลงคอมพ์แล้ว,,,
2566-07-14,ทาเลนท์อินเตอร์เทรด,4647.08,IV2216248,โอน 7/10/66,ลงคอมพ์แล้ว,,,
,ร้านเจ๊แอน,26070,,โอน 3/8/66,,,,
,ศรีสยาม Due 3 - 9/7/66,131448.26,,โอน 16/8/66,,,,
,ศรีสยาม Due 10 - 16/7/66,131639.25,,โอน 16/8/66,,,,
,ศรีสยาม Due 17 - 23/7/66,64606.24,,โอน 4/9/66,,,,
,ศรีสยาม Due 24 - 30/7/66,46228.16,,โอน 4/9/66,,,,
,ร้านจิตต์ อะไหล่ Due 3 - 8/7/2566,92043.56,,โอน 11/7/66,,,,
,ร้านจิตต์ อะไหล่ Due 10 - 31/7/2566,183207.92,,โอน 16/8/66,,,,
,ร้านโสภา,5500,,โอน 17/11/66,,,,
,ชื่อร้านค้า,ยอดรวม,เลขที่บิล,หมายเหตุ,,,,
2566-08-07,ออโต้เทรด มาร์เก็ตติ้ง ,24396,IV1435877,โอน 9/9/66,ลงคอมพ์แล้ว,,,
2566-08-08,ออโต้เทรด มาร์เก็ตติ้ง ,16906,IV1436009,โอน 3/11/66,ลงคอมพ์แล้ว,,,
2566-08-22,ห้างหุ้นส่วนจำกัด พี.บี. เพ้นต์,51360,66/521,โอน 2/11/66,ลงคอมพ์แล้ว,,,
2566-08-15,ไทยนครพัฒนา,29601.55,INV23080494,โอน 19/10/66,ลงคอมพ์แล้ว,,,
2566-08-09,บจก. วีที คัลเลอร์ โปร ,9922.11,IV450-66,โอน 2/11/66,ลงคอมพ์แล้ว,,,
2566-08-21,บจก. วีที คัลเลอร์ โปร ,59920,IV469-66,โอน 2/11/66,ลงคอมพ์แล้ว,,,
2566-08-21,บจก. วีที คัลเลอร์ โปร ,151426.4,IV470-66,โอน 2/11/66,ลงคอมพ์แล้ว,,,
2566-08-01,ทาเลนท์อินเตอร์เทรด,1129.92,IV2217111,โอน 17/11/66,ลงคอมพ์แล้ว,,,
2566-08-02,ทาเลนท์อินเตอร์เทรด,2050.12,IV2217239,โอน 17/11/66,ลงคอมพ์แล้ว,,,
2566-08-10,ทาเลนท์อินเตอร์เทรด,2953.2,IV2217919,โอน 17/11/66,ลงคอมพ์แล้ว,,,
2566-08-11,ทาเลนท์อินเตอร์เทรด,3477.5,IV2217986,โอน 17/11/66,ลงคอมพ์แล้ว,,,
2566-08-15,ทาเลนท์อินเตอร์เทรด,719.04,IV2218115,โอน 17/11/66,ลงคอมพ์แล้ว,,,
2566-08-07,ค่ากิ๊บน๊อต / ร้าน 55 กิ๊บน๊อต,1600,,โอน 7/8/66,,,,
2566-08-12,กิ๊บน๊อต / ร้านต้นคิด   ,1800,,,ลงคอมพ์แล้ว,,,
,ศรีสยาม Due 31/7 - 6/8/66,65828.02,,โอน 7/9/66,,,,
,ศรีสยาม Due 7 - 13/8/66,81948.08,,โอน 18/9/66,,,,
,ศรีสยาม Due 14 - 20/8/66,134023.92,,โอน 25/9/66,,,,
,ศรีสยาม Due 21 - 27/8/66,59825.77,,โอน 29/9/66,,,,
,ศรีสยาม Due 28/8 - 3/9/66,76298.29,,โอน 7/10/66,,,,
,ร้านเจ๊แอน,27980,,โอน 4/9/66,,,,
,ร้านจิตต์ อะไหล่ Due 1 - 31/8/2566,223592.35,,โอน 29/9/2566,,,,
,ร้านโสภา,4100,,โอน 17/11/66,,,,
,ชื่อร้านค้า,ยอดรวม,เลขที่บิล,หมายเหตุ,,,,
2566-09-11,ไทยนครพัฒนา,36342.55,INV23090410,โอน 17/11/66,ลงคอมพ์แล้ว,,,
2566-09-21,ทาเลนท์อินเตอร์เทรด,7415.1,IV2220473,โอน 6/1/67,ลงคอมพ์แล้ว,,,
2566-09-22,ทาเลนท์อินเตอร์เทรด,856,IV2220530,โอน 6/1/67,ลงคอมพ์แล้ว,,,
2566-09-22,ทาเลนท์อินเตอร์เทรด,5906.4,IV2220554,โอน 6/1/67,ลงคอมพ์แล้ว,,,
2566-09-22,ห้างหุ้นส่วนจำกัด พี.บี. เพ้นต์,51360,66/601,โอน 13/12/66,ลงคอมพ์แล้ว,,,
2566-09-08,บจก. วีที คัลเลอร์ โปร ,4151.6,IV516-66,โอน 2/12/66,ลงคอมพ์แล้ว,,,
2566-09-09,บจก. วีที คัลเลอร์ โปร ,33705,IV517-66,โอน 2/12/66,ลงคอมพ์แล้ว,,,
2566-09-22,บจก. วีที คัลเลอร์ โปร ,77628.5,IV541-66,โอน 2/12/66,ลงคอมพ์แล้ว,,,
2566-09-22,บจก. วีที คัลเลอร์ โปร ,116116.4,IV542-66,โอน 2/12/66,ลงคอมพ์แล้ว,,,
,ศรีสยาม Due 4 - 10/9/66,112802.91,,โอน 14/10/66,,,,
,ศรีสยาม Due 11 - 17/9/66,57054,,โอน 19/10/66,,,,
,ศรีสยาม Due 18 - 24/9/66,45246.48,,โอน 26/10/66,,,,
,ศรีสยาม Due 25/9 - 1/10/66,74669.73,,โอน 2/11/66,,,,
,ร้านเจ๊แอน,50650,,โอน 3/10/66,,,,
,ร้านจิตต์ อะไหล่ Due 1 - 30/9/2566,174670.69,,โอน 31/10/66,,,,
,ร้านโสภา,12400,,โอน 17/11/66,,,,
,ชื่อร้านค้า,ยอดรวม,เลขที่บิล,หมายเหตุ,,,,
2566-10-24,ห้างหุ้นส่วนจำกัด พี.บี. เพ้นต์,51360,66/667,โอน 27/12/66,ลงคอมพ์แล้ว,,,
2566-10-05,ออโต้เทรด มาร์เก็ตติ้ง ,19752.2,IV1438645,โอน 3/11/66,ลงคอมพ์แล้ว,,,
2566-10-06,บจก. วีที คัลเลอร์ โปร,1540.8,IV575-66,โอน 27/12/66,ลงคอมพ์แล้ว,,,
2566-10-16,บจก. วีที คัลเลอร์ โปร,26482.5,IV591-66,โอน 27/12/66,ลงคอมพ์แล้ว,,,
2566-10-18,บจก. วีที คัลเลอร์ โปร (ขนแกะ) ,1680,,โอน 19/10/66 (จ่ายสด),ลงคอมพ์แล้ว,,,
2566-10-21,บจก. วีที คัลเลอร์ โปร,96460.5,IV685-66,โอน 27/12/66,ลงคอมพ์แล้ว,,,
2566-10-21,บจก. วีที คัลเลอร์ โปร,119433.4,IV685-66,โอน 27/12/66,ลงคอมพ์แล้ว,,,
2566-10-24,บจก. วีที คัลเลอร์ โปร,62702,IV619-66,โอน 27/12/66,ลงคอมพ์แล้ว,,,
2566-10-24,บจก. วีที คัลเลอร์ โปร,105758.8,IV620-66,โอน 27/12/66,ลงคอมพ์แล้ว,,,
2566-10-18,ไทยนครพัฒนา,13926.05,INV23100640,โอน 27/12/66,ลงคอมพ์แล้ว,,,
2566-10-10,ทาเลนท์อินเตอร์เทรด,8166.24,IV2221763,โอน 24/1/67,ลงคอมพ์แล้ว,,,
2566-10-12,ทาเลนท์อินเตอร์เทรด,442.98,IV2221901,โอน 24/1/67,ลงคอมพ์แล้ว,,,
2566-10-16,ทาเลนท์อินเตอร์เทรด,2535.9,IV2222022,โอน 24/1/67,ลงคอมพ์แล้ว,,,
2566-10-17,ทาเลนท์อินเตอร์เทรด,347.75,IV2222057,โอน 24/1/67,ลงคอมพ์แล้ว,,,
2566-10-24,ทาเลนท์อินเตอร์เทรด,1016.5,IV2222487,โอน 24/1/67,ลงคอมพ์แล้ว,,,
2566-10-26,ทาเลนท์อินเตอร์เทรด,3691.5,IV2222638,โอน 24/1/67,ลงคอมพ์แล้ว,,,
,ศรีสยาม Due 2 - 8/10/66,46638.77,,โอน 11/11/66,,,,
,ศรีสยาม Due 9 - 15/10/66,80521.83,,โอน 17/11/66,,,,
,ศรีสยาม Due 16 - 22/10/66,84962.92,,โอน 23/11/66,,,,
,ศรีสยาม Due 23 - 29/10/66,55152.58,,โอน 1/12/66,,,,
,ร้านเจ๊แอน,63070,,โอน 2/11/66,,,,
,ร้านจิตต์ อะไหล่ Due 1 - 31/10/2566,211847.96,,โอน 1/12/66,,,,
,ร้านโสภา,4150,,โอน 17/11/66,,,,
,ชื่อร้านค้า,ยอดรวม,เลขที่บิล,หมายเหตุ,,,,
2566-11-01,ทาเลนท์อินเตอร์เทรด,1786.9,IV2222917,โอน 25/2/67,ลงคอมพ์แล้ว,,,
2566-11-10,ทาเลนท์อินเตอร์เทรด,11000,IV2223646,โอน 25/2/67,ลงคอมพ์แล้ว,,,
2566-11-13,ทาเลนท์อินเตอร์เทรด,616.32,IV2223758,โอน 25/2/67,ลงคอมพ์แล้ว,,,
2566-11-11,ไทยนครพัฒนา,22657.25,INV23110457,โอน 10/1/67,ลงคอมพ์แล้ว,,,
2566-10-21,บจก. วีที คัลเลอร์ โปร,96460.5,IV684-66,โอน 5/2/67,ลงคอมพ์แล้ว,,,
2566-10-21,บจก. วีที คัลเลอร์ โปร,119433.4,IV685-66,โอน 5/2/67,ลงคอมพ์แล้ว,,,
2566-10-27,บจก. วีที คัลเลอร์ โปร,4494,IV695-66,โอน 5/2/67,ลงคอมพ์แล้ว,,,
2566-11-23,ห้างหุ้นส่วนจำกัด พี.บี. เพ้นต์,51360,66/746,โอน 5/2/67,ลงคอมพ์แล้ว,,,
2566-11-18,ออโต้เทรด มาร์เก็ตติ้ง ,8295.71,IV1440657,โอน 27/1/67,ลงคอมพ์แล้ว,,,
2566-11-22,ออโต้เทรด มาร์เก็ตติ้ง ,12685.92,IV1440827,โอน 27/1/67,ลงคอมพ์แล้ว,,,
2566-11-28,ออโต้เทรด มาร์เก็ตติ้ง ,13910,IV1441081,โอน 27/1/67,ลงคอมพ์แล้ว,,,
,ศรีสยาม Due 30/10 - 5/11/66,60373.66,,โอน 7/12/66,,,,
,ศรีสยาม Due 6 - 12/11/66,68030.48,,โอน 13/12/66,,,,
,ศรีสยาม Due 13 - 19/11/66,38804.87,,โอน 21/12/66,,,,
,ศรีสยาม Due 20 - 26/11/66,71687.11,,โอน 27/12/66,,,,
